CNTD(INFO_DM_CASE_ID)-value,CNTD(INFO_DM_CASE_ID)-alias,COUNTY-value,COUNTY-alias,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-value,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-alias,CNTD(INFO_DM_CASE_ID (copy))-alias,COUNTY (copy)-alias,MONTH(calc-color)-alias,population,per capita,,pop,,https://www.census.gov/data/tables/time-series/demo/popest/2020s-counties-total.html,,,,
0,0,0,0,HAMPDEN,HPD,63,HAMPDEN,Dec-22,461041,13.6647283,,,,,,,,
0,0,0,0,FRANKLIN,FRA,5,FRANKLIN,Dec-22,70894,7.052783028,,,,,,,,
0,0,0,0,ESSEX,ESS,82,ESSEX,Dec-22,806765,10.16405025,,,,,,,,
0,0,0,0,BRISTOL,BRI,68,BRISTOL,Dec-22,580068,11.72276354,,,,,,,,
0,0,0,0,BERKSHIRE,BER,13,BERKSHIRE,Dec-22,127859,10.16745008,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,7,BARNSTABLE,Dec-22,232457,3.011309619,,,,,,,,
0,0,0,0,%null%,TBD,1,%null%,Dec-22,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,76,WORCESTER,Nov-22,862927,8.807233984,,,,,,,,
0,0,0,0,SUFFOLK,SUF,65,SUFFOLK,Nov-22,766381,8.481421121,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,25,PLYMOUTH,Nov-22,533069,4.689824394,,,,,,,,
0,0,0,0,NORFOLK,NOR,64,NORFOLK,Nov-22,725531,8.821125493,,,,,,,,
0,0,0,0,MIDDLESEX,MID,104,MIDDLESEX,Nov-22,1617105,6.431245961,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,15,HAMPSHIRE,Nov-22,162588,9.22577312,,,,,,,,
0,0,0,0,HAMPDEN,HPD,34,HAMPDEN,Nov-22,461041,7.374615273,,,,,,,,
0,0,0,0,FRANKLIN,FRA,7,FRANKLIN,Nov-22,70894,9.873896239,,,,,,,,
0,0,0,0,ESSEX,ESS,99,ESSEX,Nov-22,806765,12.2712314,,,,,,,,
0,0,0,0,BRISTOL,BRI,58,BRISTOL,Nov-22,580068,9.998827724,,,,,,,,
0,0,0,0,BERKSHIRE,BER,7,BERKSHIRE,Nov-22,127859,5.474780813,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,13,BARNSTABLE,Nov-22,232457,5.592432149,,,,,,,,
0,0,0,0,%null%,TBD,1,%null%,Nov-22,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,78,WORCESTER,Oct-22,862927,9.039003299,,,,,,,,
0,0,0,0,SUFFOLK,SUF,63,SUFFOLK,Oct-22,766381,8.220454317,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,32,PLYMOUTH,Oct-22,533069,6.002975225,,,,,,,,
